City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
goure,13.9835,10.2704,91.99,20,14,5.79,NE,1619419480
ostrovnoy,68.0531,39.5131,31.71,90,100,23.09,RU,1619419480
san borja,-14.8167,-66.85,65.66,96,100,3.38,BO,1619419481
montepuez,-13.1256,38.9997,74.43,83,78,4.85,MZ,1619419481
lompoc,34.6391,-120.4579,51.8,87,100,4.27,US,1619419481
nawashahr,31.1167,76.1333,99.0,9,0,7.47,IN,1619419482
dickinson,29.4608,-95.0513,66.99,82,1,8.77,US,1619419482
klyuchi,52.2667,79.1667,62.91,33,100,12.15,RU,1619419482
palmer,42.1584,-72.3287,43.0,56,1,17.27,US,1619419249
puerto rico,-26.796,-55.024,51.35,95,1,0.89,AR,1619419483
caluquembe,-13.7833,14.6833,65.16,55,76,3.62,AO,1619419483
lebu,-37.6167,-73.65,53.19,93,10,8.99,CL,1619419484
zhigansk,66.7697,123.3711,26.65,93,100,14.58,RU,1619419484
north bend,43.4065,-124.2243,46.4,93,90,5.75,US,1619419230
doha,25.2867,51.5333,98.6,20,0,9.22,QA,1619419428
tiksi,71.6872,128.8694,23.76,94,100,14.12,RU,1619419485
kemi,65.8596,24.8228,35.6,55,0,16.11,FI,1619419485
billings,45.7833,-108.5007,44.01,87,90,4.61,US,1619419322
bose,45.4612,8.0137,57.0,82,100,0.67,IT,1619419486
medowie,-32.7333,151.8667,68.0,64,20,8.05,AU,1619419486
necochea,-38.5473,-58.7368,54.0,93,0,1.99,AR,1619419487
tezu,27.9167,96.1667,102.4,9,4,6.04,IN,1619419487
rocha,-34.4833,-54.3333,54.9,82,0,6.82,UY,1619419487
sao jose da coroa grande,-8.8978,-35.1478,78.06,77,57,4.94,BR,1619419488
quartucciu,39.2519,9.1794,64.0,72,20,10.36,IT,1619419488
kahului,20.8947,-156.47,73.4,78,20,19.57,US,1619419227
korla,41.7597,86.1469,61.68,16,51,5.55,CN,1619419489
chumikan,54.7183,135.315,40.73,83,100,0.83,RU,1619419489
greenwood,34.1668,-82.1165,51.8,87,40,5.59,US,1619419442
dongying,37.4564,118.4856,50.31,91,100,7.54,CN,1619419490
katangli,51.7102,143.2326,31.01,65,59,7.14,RU,1619419490
fortuna,40.5982,-124.1573,46.99,100,90,4.23,US,1619419490
sorkjosen,69.8,20.9333,32.7,92,100,6.71,NO,1619419491
biskupiec,53.8647,20.9569,33.8,86,75,5.75,PL,1619419359
lagos,6.5833,3.75,78.8,94,20,2.3,NG,1619419349
villaba,11.2135,124.3921,85.35,64,21,7.16,PH,1619419491
hengyang,26.8881,112.615,61.14,90,100,3.89,CN,1619419492
antofagasta,-23.65,-70.4,59.0,77,0,3.44,CL,1619419492
peace river,56.2501,-117.286,32.0,55,40,13.8,CA,1619419492
srednekolymsk,67.45,153.6833,26.91,75,26,6.06,RU,1619419493
dali,25.7,100.1833,82.83,18,1,8.48,CN,1619419310
la palma,33.8464,-118.0467,59.0,72,40,8.05,US,1619419256
krasnoselkup,65.7,82.4667,30.02,86,20,11.43,RU,1619419494
bilma,18.6853,12.9164,90.0,11,0,7.4,NE,1619419494
hualmay,-11.0964,-77.6139,65.25,91,21,6.38,PE,1619419494
auki,-8.7676,160.7034,80.91,82,50,4.45,SB,1619419495
oktyabrskiy,54.4815,53.471,48.65,41,9,19.04,RU,1619419495
kibala,9.1104,18.3463,78.8,69,0,6.91,TD,1619419495
anzio,41.4853,12.6179,57.0,87,0,11.34,IT,1619419496
seddon,-37.8068,144.8916,62.01,67,90,6.91,AU,1619419496
nishihara,26.1842,127.7558,82.4,57,40,9.22,JP,1619419497
kyren,51.6828,102.1408,43.5,47,97,2.13,RU,1619419497
moussoro,13.6408,16.4901,91.09,13,15,3.47,TD,1619419497
muleba,-1.8397,31.6544,68.0,94,75,11.5,TZ,1619419498
brae,60.3964,-1.353,44.6,93,75,6.91,GB,1619419498
ha tinh,18.3333,105.9,85.6,78,100,5.46,VN,1619419211
andenes,69.3143,16.1194,37.4,60,75,12.66,NO,1619419499
port moresby,-9.4431,147.1797,84.2,74,40,4.61,PG,1619419499
makasar,-5.14,119.4221,91.4,62,20,11.5,ID,1619419490
muli,2.9167,73.5667,83.41,69,63,4.92,MV,1619419499
chabahar,25.2919,60.643,86.65,52,2,6.76,IR,1619419500
alyangula,-13.8483,136.4192,77.0,100,75,3.44,AU,1619419500
labuan,5.2767,115.2417,89.6,66,20,4.61,MY,1619419501
rio grande,-32.035,-52.0986,57.99,92,87,14.0,BR,1619419501
patiya,22.2931,91.9762,91.4,62,40,6.91,BD,1619419502
puerto escondido,15.85,-97.0667,80.65,81,13,6.82,MX,1619419502
plettenberg bay,-34.0527,23.3716,67.01,68,100,3.91,ZA,1619419503
lagoa,39.05,-27.9833,58.77,85,100,7.72,PT,1619419503
tilichiki,60.4667,166.1,31.26,98,100,2.59,RU,1619419504
clarence town,-32.5833,151.7833,68.0,64,20,8.05,AU,1619419504
sur,22.5667,59.5289,94.55,30,100,1.59,OM,1619419504
lavrentiya,65.5833,-171.0,26.35,93,100,4.0,RU,1619419505
kodinsk,58.6881,99.1844,40.96,61,100,10.29,RU,1619419505
barsovo,61.1667,73.1667,55.4,26,0,13.42,RU,1619419506
raymond,43.9015,-70.4703,45.0,96,100,1.01,US,1619419506
bintulu,3.1667,113.0333,91.4,58,40,9.22,MY,1619419507
baculin,7.4525,126.5842,79.99,87,100,5.32,PH,1619419507
conakry,9.538,-13.6773,77.0,88,0,8.57,GN,1619419507
mayya,61.7333,130.2811,44.6,57,0,2.24,RU,1619419508
ketchikan,55.3422,-131.6461,46.81,63,0,3.58,US,1619419508
louis trichardt,-23.0439,29.9032,72.81,42,0,1.34,ZA,1619419508
boyolangu,-8.1181,111.8935,84.9,67,34,8.59,ID,1619419509
neringa,55.3719,21.0647,37.0,93,75,11.18,LT,1619419509
verishen,39.5356,46.3122,67.89,39,66,5.91,AM,1619419510
zhezkazgan,47.8043,67.7144,65.52,34,100,7.74,KZ,1619419510
catuday,16.2923,119.8062,82.26,64,100,11.21,PH,1619419510
pacific grove,36.6177,-121.9166,51.01,89,61,5.93,US,1619419511
liverpool,53.4106,-2.9779,42.8,87,22,1.14,GB,1619419313
mirnyy,62.5353,113.9611,24.15,65,100,15.26,RU,1619419511
nabire,-3.3667,135.4833,84.13,70,34,4.65,ID,1619419512
port-cartier,50.0334,-66.8654,41.0,52,90,16.11,CA,1619419512
ritchie,-29.038,24.6028,66.2,34,88,1.14,ZA,1619419513
okato,-39.2,173.8833,48.99,72,37,3.0,NZ,1619419513
harper,4.375,-7.7169,77.2,84,100,2.46,LR,1619419513
carnarvon,-24.8667,113.6333,86.0,42,5,9.22,AU,1619419514
jerantut,3.936,102.3626,88.97,64,35,1.5,MY,1619419514
kaeo,-35.1,173.7833,59.0,84,100,5.99,NZ,1619419514
caramay,10.1815,119.236,83.88,67,30,5.35,PH,1619419515
rypefjord,70.6333,23.6667,32.0,100,75,4.61,NO,1619419515
manokwari,-0.8667,134.0833,81.86,77,92,6.93,ID,1619419516
fujin,47.26,132.0322,60.55,17,100,6.13,CN,1619419516
kwinana,-32.25,115.7667,86.0,21,100,5.75,AU,1619419516
nalut,30.3333,10.85,74.48,22,7,21.65,LY,1619419517
koslan,63.4564,48.8989,42.12,76,100,3.67,RU,1619419517
qandala,11.472,49.8728,90.57,44,90,4.68,SO,1619419517
bodo,67.28,14.405,37.99,70,75,10.36,NO,1619419518
alto araguaia,-17.3147,-53.2153,62.46,89,98,6.02,BR,1619419518
trelew,-43.249,-65.3051,57.27,56,100,9.44,AR,1619419519
bundaberg,-24.85,152.35,77.0,50,75,8.05,AU,1619419519
sistranda,63.7256,8.834,37.4,87,75,6.91,NO,1619419519
faanui,-16.4833,-151.75,81.14,66,4,2.84,PF,1619419520
deputatskiy,69.3,139.9,28.74,84,76,2.57,RU,1619419520
rome,34.257,-85.1647,48.2,87,1,3.69,US,1619419271
kuvshinovo,57.0295,34.1725,36.43,72,100,10.71,RU,1619419521
waverley,-25.7023,28.2591,60.8,51,0,1.14,ZA,1619419521
neyshabur,36.2133,58.7958,78.39,17,2,3.33,IR,1619419521
san luis,-33.295,-66.3356,55.92,71,0,7.72,AR,1619419229
raudeberg,61.9875,5.1352,39.99,59,49,3.18,NO,1619419522
jojoima,7.8792,-10.7878,75.36,97,100,1.1,SL,1619419522
ozinki,51.1786,49.6769,52.0,33,100,5.82,RU,1619419523
mukhen,48.1,136.1,56.88,26,21,6.11,RU,1619419523
nuqui,5.7125,-77.2708,77.67,89,100,5.61,CO,1619419523
falam,22.9167,93.6833,93.16,8,0,3.09,MM,1619419524
itarema,-2.9248,-39.9167,74.91,85,9,7.72,BR,1619419524
tadine,-21.55,167.8833,73.96,73,12,12.82,NC,1619419525
palanga,55.9175,21.0686,35.6,87,75,9.22,LT,1619419525
buzmeyin,38.0507,58.2056,91.4,16,1,11.5,TM,1619419525
mount gambier,-37.8333,140.7667,60.8,67,75,10.36,AU,1619419526
hofn,64.2539,-15.2082,43.18,70,22,9.04,IS,1619419526
palauig,15.435,119.9045,83.01,66,100,6.02,PH,1619419526
phoenixville,40.1304,-75.5149,50.0,43,1,11.5,US,1619419527
garwa,24.1833,83.8167,102.7,4,25,10.13,IN,1619419527
matay,28.419,30.7792,70.43,52,0,12.06,EG,1619419527
chifeng,42.2683,118.9636,68.94,32,100,13.85,CN,1619419528
souillac,-20.5167,57.5167,78.8,83,75,14.97,MU,1619419528
chute-aux-outardes,49.1168,-68.399,41.0,93,90,9.22,CA,1619419529
keetmanshoop,-26.5833,18.1333,66.2,37,0,6.91,NA,1619419529
emerald,-23.5333,148.1667,82.99,20,0,6.91,AU,1619419529
abu kamal,34.4506,40.9171,91.67,17,0,11.03,SY,1619419530
lamu,-2.2717,40.902,85.5,67,77,10.94,KE,1619419530
kidal,18.4411,1.4078,88.57,7,16,2.06,ML,1619419531
north platte,41.1239,-100.7654,62.6,59,1,13.8,US,1619419531
valparaiso,-33.0393,-71.6273,53.01,81,0,6.76,CL,1619419531
haines junction,60.7522,-137.5108,39.2,45,0,5.75,CA,1619419456
santa catalina,9.3337,122.8637,87.8,66,40,9.22,PH,1619419532
pangnirtung,66.1451,-65.7125,28.85,80,100,6.49,CA,1619419532
sosnovo-ozerskoye,52.5249,111.5418,36.46,81,100,16.37,RU,1619419533
tomatlan,19.9333,-105.25,69.53,93,92,2.64,MX,1619419533
porto novo,6.4965,2.6036,82.4,83,40,6.91,BJ,1619419533
chibombo,-14.6569,28.0706,73.89,52,26,6.73,ZM,1619419534
ginir,7.1333,40.7,59.4,89,97,5.44,ET,1619419534
selma,36.5708,-119.6121,55.4,76,90,3.44,US,1619419321
strathmore,51.0501,-113.3852,36.0,100,100,2.3,CA,1619419535
kisesa,-3.0833,34.15,70.93,73,23,3.85,TZ,1619419535
dunmore town,25.5,-76.65,77.94,80,0,7.2,BS,1619419535
bomet,-0.7813,35.3416,70.16,52,52,1.74,KE,1619419536
kapuskasing,49.4169,-82.4331,19.4,93,12,1.14,CA,1619419536
hovd,48.0056,91.6419,41.47,16,47,6.51,MN,1619419537
kibaya,-5.3,36.5667,65.95,80,93,3.58,TZ,1619419537
hervey bay,-25.2986,152.8535,73.0,68,3,5.99,AU,1619419476
hami,42.8,93.45,57.34,8,0,5.23,CN,1619419538
fairbanks,64.8378,-147.7164,53.6,40,1,3.06,US,1619419538
mitchell,43.7094,-98.0298,51.01,76,20,13.8,US,1619419263
katsuura,35.1333,140.3,66.99,25,20,12.66,JP,1619419538
nuuk,64.1835,-51.7216,37.4,87,75,2.3,GL,1619419539
kalga,50.9251,118.898,66.6,24,99,15.55,RU,1619419539
tura,25.5198,90.2201,100.87,14,99,6.89,IN,1619419540
phalaborwa,-23.943,31.1411,66.2,94,0,4.61,ZA,1619419540
naze,28.3667,129.4833,73.4,68,75,16.11,JP,1619419540
krasnyye baki,57.131,45.1599,37.54,88,100,15.7,RU,1619419541
oranjemund,-28.55,16.4333,64.99,76,100,7.81,NA,1619419541
cerrito,6.8432,-72.694,51.12,86,98,6.26,CO,1619419542
mandalgovi,45.7625,106.2708,35.29,52,100,30.87,MN,1619419542
mugur-aksy,50.35,90.5,31.17,37,75,3.15,RU,1619419542
pangkalanbuun,-2.6833,111.6167,86.27,69,100,4.74,ID,1619419372
tarboro,35.8968,-77.5358,53.6,100,1,6.89,US,1619419543
sorong,-0.8833,131.25,85.15,67,91,4.09,ID,1619419543
pisco,-13.7,-76.2167,64.0,88,0,1.14,PE,1619419544
port hardy,50.6996,-127.4199,46.4,100,40,2.3,CA,1619419544
yeniseysk,58.4497,92.1703,38.66,85,100,6.44,RU,1619419544
meadow lake,34.8014,-106.5436,66.2,9,90,5.75,US,1619419512
moerai,-22.4333,-151.3333,77.09,63,100,7.81,PF,1619419545
donskoye,45.4552,41.9741,44.6,93,90,11.18,RU,1619419546
the valley,18.217,-63.0578,78.8,73,40,8.05,AI,1619419546
jawhar,2.7809,45.5005,90.43,48,40,8.16,SO,1619419546
vila franca do campo,37.7167,-25.4333,57.2,88,75,5.75,PT,1619419547
aklavik,68.2191,-135.0107,12.2,79,100,10.36,CA,1619419337
alekseyevsk,57.8406,108.3492,41.22,70,100,7.58,RU,1619419547
los llanos de aridane,28.6585,-17.9182,66.2,68,75,10.56,ES,1619419548
talcahuano,-36.7167,-73.1167,55.4,94,90,9.22,CL,1619419548
syasstroy,60.1367,32.5691,36.97,97,100,1.79,RU,1619419548
tarko-sale,64.9225,77.785,34.12,100,100,16.8,RU,1619419549
batticaloa,7.7102,81.6924,86.18,65,85,8.68,LK,1619419549
luderitz,-26.6481,15.1594,64.6,77,100,1.21,NA,1619419549
yar-sale,66.8333,70.8333,33.85,100,100,14.94,RU,1619419550
vanimo,-2.6741,141.3028,82.92,68,76,4.52,PG,1619419550
ridgecrest,35.6225,-117.6709,54.0,50,1,16.11,US,1619419326
dombarovskiy,50.7587,59.5386,48.78,86,100,2.37,RU,1619419551
asyut,27.181,31.1837,73.4,49,0,14.97,EG,1619419551
mandan,46.8267,-100.8896,37.4,100,90,9.22,US,1619419350
edd,13.9297,41.6925,91.78,49,98,10.04,ER,1619419552
tazovskiy,67.4667,78.7,28.72,90,100,15.9,RU,1619419264
diamantino,-14.4086,-56.4461,70.32,95,100,5.19,BR,1619419552
lufilufi,-13.8745,-171.5986,80.6,83,20,6.91,WS,1619419552
chubbuck,42.9208,-112.4661,43.0,75,90,9.22,US,1619419553
xacmaz,41.4635,48.806,61.09,63,99,7.7,AZ,1619419553
san jeronimo,-11.9472,-75.2829,49.66,85,98,1.01,PE,1619419554
cicero dantas,-10.6,-38.3833,67.48,97,23,2.75,BR,1619419554
thabazimbi,-24.5917,27.4116,72.54,12,0,1.21,ZA,1619419554
hirara,24.8,125.2833,77.0,53,20,11.5,JP,1619419555
ratnagiri,16.9833,73.3,90.21,58,37,11.27,IN,1619419494
nicoya,10.1483,-85.452,77.0,65,0,11.5,CR,1619419555
jiujiang,29.7333,115.9833,65.88,81,100,6.08,CN,1619419556
taraz,42.9,71.3667,68.0,34,1,8.95,KZ,1619419496
la peca,-5.6111,-78.435,66.04,89,18,1.92,PE,1619419556
trinidad,-14.8333,-64.9,65.46,95,100,5.19,BO,1619419557
bako,5.7833,36.5667,67.57,85,100,1.72,ET,1619419557
colares,38.7992,-9.4469,59.0,88,40,9.22,PT,1619419557
torres,-29.3353,-49.7269,60.69,84,9,7.78,BR,1619419558
kissamos,35.4939,23.6569,66.0,67,0,8.05,GR,1619419558
nome,64.5011,-165.4064,42.8,56,90,9.22,US,1619419558
college,64.8569,-147.8028,53.6,30,20,3.44,US,1619419559
yairipok,24.6667,94.0667,87.8,48,20,11.5,IN,1619419559
dillingen,49.35,6.7333,46.99,51,0,3.0,DE,1619419560
quatre cocos,-20.2078,57.7625,79.0,83,75,14.97,MU,1619419560
buchanan,5.8808,-10.0467,77.0,94,40,0.65,LR,1619419560
shimoda,34.6667,138.95,60.8,33,20,13.8,JP,1619419561
san carlos de bariloche,-41.1456,-71.3082,41.0,87,0,3.44,AR,1619419561
anderson,34.5334,-82.6499,57.2,58,20,5.75,US,1619419480
mantua,45.1667,10.7833,60.01,71,100,5.99,IT,1619419562
temir,49.1414,57.13,60.24,54,100,8.9,KZ,1619419562
kang,-23.6752,22.7876,70.93,23,0,7.96,BW,1619419563
siguiri,11.6667,-9.5,81.99,52,78,3.4,GN,1619419563
ucluelet,48.9329,-125.5528,48.0,87,93,3.11,CA,1619419513
hamilton,39.1834,-84.5333,44.01,87,1,3.15,US,1619419564
teguise,29.0605,-13.564,64.4,77,40,3.44,ES,1619419564
olafsvik,64.8945,-23.7142,39.29,85,5,11.48,IS,1619419564
richards bay,-28.783,32.0377,72.5,69,16,1.68,ZA,1619419565
pio xii,-3.8325,-45.1525,72.46,98,88,2.01,BR,1619419565
beringovskiy,63.05,179.3167,29.14,92,74,2.13,RU,1619419566
krasnyy chikoy,50.3643,108.7512,37.22,81,100,20.69,RU,1619419566
conde,-7.2597,-34.9075,73.4,100,0,4.61,BR,1619419566
honolulu,21.3069,-157.8583,75.2,60,20,11.5,US,1619419513
xuddur,4.1213,43.8894,84.47,51,93,10.54,SO,1619419567
nizhniy kuranakh,58.8353,125.4869,40.33,87,100,5.32,RU,1619419567
ostersund,63.1792,14.6357,34.0,59,0,9.22,SE,1619419568
nagato,34.3833,131.2,62.6,41,40,6.91,JP,1619419568
beloha,-25.1667,45.05,85.77,43,0,5.91,MG,1619419569
sioux lookout,50.1001,-91.917,35.6,38,75,9.22,CA,1619419569
salme,28.0369,85.0942,82.4,24,20,6.91,NP,1619419570
sabancuy,18.9667,-91.1833,78.66,81,1,6.71,MX,1619419570
sampit,-2.5333,112.95,87.66,64,83,0.85,ID,1619419570
tortoli,39.9256,9.6572,53.6,82,75,5.75,IT,1619419571
oktyabrskoye,43.0645,44.7417,53.6,76,75,4.47,RU,1619419571
mattru,7.6244,-11.8332,76.93,92,100,2.59,SL,1619419572
morant bay,17.8815,-76.4093,78.8,73,20,6.91,JM,1619419572
llano largo,7.9,-80.4333,76.86,81,99,6.71,PA,1619419572
nanortalik,60.1432,-45.2371,33.8,99,100,8.97,GL,1619419573
staryy nadym,65.6118,72.6842,34.18,100,100,16.84,RU,1619419573
leh,34.1667,77.5833,44.1,26,0,2.19,IN,1619419573
camacha,33.0833,-16.3333,62.6,77,40,19.57,PT,1619419574
dublyany,49.9041,24.0864,39.2,70,0,6.71,UA,1619419574
khair,27.95,77.8333,103.46,5,0,9.93,IN,1619419575
tsalenjikha,42.6044,42.0682,55.4,82,90,4.61,GE,1619419575
bebra,50.9667,9.8,37.99,64,1,1.01,DE,1619419575
ondjiva,-17.0667,15.7333,67.69,34,4,5.64,AO,1619419576
evans,33.5337,-82.1307,62.6,59,1,5.75,US,1619419541
iralaya,15.0,-83.2333,78.51,74,10,9.66,HN,1619419576
aksha,50.2814,113.2867,48.88,45,100,20.29,RU,1619419577
egvekinot,66.3167,-179.1667,20.91,92,82,2.62,RU,1619419577
dunedin,-45.8742,170.5036,46.0,75,100,24.0,NZ,1619419366
middle island,40.8843,-72.9373,51.8,58,1,11.5,US,1619419578
ballina,-28.8667,153.5667,71.6,64,40,8.05,AU,1619419578
svetlogorsk,52.6333,29.7333,41.18,50,11,7.7,BY,1619419578
portobelo,9.55,-79.65,78.01,83,20,4.61,PA,1619419579
klaksvik,62.2266,-6.589,44.6,87,100,11.5,FO,1619419579
healdsburg,38.6105,-122.8692,44.6,81,1,3.62,US,1619419579
horasan,40.0458,42.1728,65.43,40,100,20.6,TR,1619419580
chara,56.9064,118.2631,35.37,99,100,3.53,RU,1619419580
henties bay,-22.116,14.2845,60.01,92,4,1.99,NA,1619419581
kamiiso,41.8167,140.65,50.0,25,40,10.36,JP,1619419581
san cristobal,7.7669,-72.225,67.1,83,85,1.34,VE,1619419581
clyde river,70.4692,-68.5914,23.0,100,90,11.5,CA,1619419582
wschowa,51.807,16.3166,42.01,61,4,5.01,PL,1619419582
traralgon,-38.1833,146.5333,61.0,76,8,8.01,AU,1619419583
